Village,DOC_NUM,survey_number,fair_value,land_type,document_amount,extent,market_value,,old sub_division_number,,,,,
Cherthala thekku,1601,157,66000,Residential Plot without vehicular access,2249000,6.7,335671.6418,,,,,,,
Cherthala thekku,1608,233,116160,Residential Plot with NH/PWD road access,1400000,4.93,283975.6592,,,,,,,
Cherthala thekku,1609,31,89760,Residential Plot without vehicular access,607500,4.5,135000,,,,,,,
Cherthala thekku,1612,40,147840,Residential Plot with Corp./Mun./Panch. road access,450000,3.65,123287.6712,,,,,,,
Cherthala thekku,1613,187,183744,Commercially important Plot,450000,2.43,185185.1852,,,,,,,
Cherthala thekku,1615,234,15840,Wet land,1895000,1.17,1619658.12,,,,,,,
Cherthala thekku,1616,35,95040,Residential Plot without vehicular access,700000,4.5,155555.5556,,,,,,,
Cherthala thekku,1620,142,110880,Residential Plot with Corp./Mun./Panch. road access,162500,1.41,115248.227,,,,,,,
Cherthala thekku,1622,145,13200,Wet land,525000,10.93,48032.93687,,,,,,,
Cherthala thekku,1623,132,95040,Residential Plot with NH/PWD road access,150000,2.3,65217.3913,,,,,,,
Cherthala thekku,1625,104,52800,Residential Plot without vehicular access,150000,2.75,54545.45455,,,,,,,
Cherthala thekku,1631,131,60720,Residential Plot without vehicular access,361000,1.21,298347.1074,,,,,,,
Cherthala thekku,1632,44,147840,Residential Plot with Corp./Mun./Panch. road access,147840,4.5,32853.33333,,,,,,,
Cherthala thekku,1633,117,52800,Residential Plot without vehicular access,587500,2.2,267045.4545,,,,,,,
Cherthala thekku,1634,122,71280,Residential Plot without vehicular access,360000,3.48,103448.2759,,,,,,,
Cherthala thekku,1635,122,71280,Residential Plot without vehicular access,610000,6.7,91044.77612,,,,,,,
Cherthala thekku,1636,122,71280,Residential Plot without vehicular access,370000,3.65,101369.863,,,,,,,
Cherthala thekku,1637,130,60720,Residential Plot without vehicular access,4177000,12.55,332828.6853,,,,,,,
Cherthala thekku,1640,67,60720,Residential Plot without vehicular access,900000,4.5,200000,,,,,,,
Cherthala thekku,1642,101,237600,Commercially important Plot,1500000,6.73,222882.6152,,,,,,,
Cherthala thekku,1643,149,79200,Garden Land without road access,675200,2.95,228881.3559,,,,,,,
Cherthala thekku,1644,149,79200,Garden Land without road access,266500,2.72,97977.94118,,,,,,,
Cherthala thekku,1648,151,79200,Garden Land without road access,160000,1.34,119402.9851,,,,,,,
Cherthala thekku,1650,285,14362,Wet land,6000,0.42,14285.71429,,,,,,,
Cherthala thekku,2505,165,100320,Residential Plot with Corp./Mun./Panch. road access,2700000,4.25,635294.1176,,,,,,,
Cherthala thekku,2511,24,89760,Residential Plot without vehicular access,325000,4.5,72222.22222,,,,,,,
Cherthala thekku,2514,51,14362,Wet land,5000,0.3,16666.66667,,,,,,,
Cherthala thekku,2515,248,15840,Wet land,2100000,1.21,1735537.19,,,,,,,
Cherthala thekku,2517,244,Null,Null,160000,1.21,132231.405,,,,,,,
Cherthala thekku,2518,244,Null,Null,80000,0.65,123076.9231,,,,,,,
Cherthala thekku,2519,244,Null,Null,80000,0.4,200000,,,,,,,
Cherthala thekku,2520,244,Null,Null,1240000,8.9,139325.8427,,,,,,,
Cherthala thekku,2525,199,109824,Residential Plot with NH/PWD road access,279000,2.51,111155.3785,,,,,,,
Cherthala thekku,2530,81,Null,Government Property,2110000,2.62,805343.5115,,,,,,,
Cherthala thekku,2533,113,71280,Residential Plot without vehicular access,75000,0.97,77319.58763,,,,,,,
Cherthala thekku,2534,192,84480,"Residential Plot without vehicular access	",531000,4.05,131111.1111,,,,,,,
Cherthala thekku,2535,192,84480,"Residential Plot without vehicular access	",437000,3.58,122067.0391,,,,,,,
Cherthala thekku,2536,30,Null,Null,500000,2.2,227272.7273,,,,,,,
Cherthala thekku,2538,220,15840,Wet land,6700000,8.18,819070.9046,,,,,,,
Cherthala thekku,2540,247,71280,Residential Plot without vehicular access,180000,2.6,69230.76923,,,,,,,
Cherthala thekku,2550,17,10560,Wet land,900000,4.86,185185.1852,,,,,,,
Cherthala thekku,2552,33,950400,Residential Plot without vehicular access,1020000,2.43,419753.0864,,,,,,,
Cherthala thekku,2553,37,95040,Residential Plot without vehicular access,100000,2.83,35335.68905,,,,,,,
Cherthala thekku,2554,37,Null,Null,400000,2.2,181818.1818,,,,,,,
Cherthala thekku,2559,51,14362,Wet land,282500,1.63,173312.8834,,,,,,,
Cherthala thekku,2560,210,Null,Null,481200,2.27,211982.3789,,,,,,,
Cherthala thekku,2564,33,105600,Residential Plot without vehicular access,600000,3.24,185185.1852,,,,,,,
Cherthala thekku,2565,163,13200,Wet land,1800000,0.86,2093023.256,,,,,,,
Cherthala thekku,2568,198,Null,Null,61000,0.23,265217.3913,,,,,,,
Cherthala thekku,2571,237,79200,Residential Plot without vehicular access,312500,2.43,128600.823,,,,,,,
Cherthala thekku,2584,306,132000,Residential Plot without vehicular access,323200,2.2,146909.0909,,,,,,,
Cherthala thekku,2587,143,66000,Garden Land without road access,400000,2.2,181818.1818,,,,,,,
Cherthala thekku,2595,77,79200,Residential Plot without vehicular access,1080500,10.26,105311.8908,,,,,,,
Cherthala thekku,2598,32,Null,Government Property,18300,0.63,29047.61905,,,,,,,
Cherthala thekku,2599,77,79200,Residential Plot without vehicular access,446000,4.05,110123.4568,,,,,,,
Cherthala thekku,2605,46,92400,Residential Plot without vehicular access,2100000,7.81,268886.0435,,,,,,,
Cherthala thekku,2606,224,71280,Residential Plot without vehicular access,262500,2.6,100961.5385,,,,,,,
Cherthala thekku,2608,41,23760,Wet land,273000,1.45,188275.8621,,,,,,,
Cherthala thekku,2613,109,84480,Residential Plot without vehicular access,3200000,8.55,374269.0058,,,,,,,
Cherthala thekku,2622,44,84480,Residential Plot without vehicular access,720000,2.43,296296.2963,,,,,,,
Cherthala thekku,2623,44,84480,Residential Plot without vehicular access,1200000,4.5,266666.6667,,,,,,,
Cherthala thekku,2629,137,13200,Wet land,6350000,12.7,500000,,,,,,,
Cherthala thekku,2630,132,116160,Residential Plot with NH/PWD road access,480000,2.43,197530.8642,,,,,,,
Cherthala thekku,2632,222,15840,Wet land,200000,0.7,285714.2857,,,,,,,
Cherthala thekku,2633,199,109824,Residential Plot with NH/PWD road access,4800000,2.33,2060085.837,,,,,,,
Cherthala thekku,2637,159,50160,Residential Plot without vehicular access,601400,2.83,212508.8339,,,,,,,
